小区,小区地址,PRI,FAR,GRE,CAR,PRO,AGE_medium,AGE_new,AGE_old,latitude,longitude,BUS,HOS,MAR,SUB,PSC,MSC,PAR,CBD,SCBD,RIV,ARE,geometry,REG_天河,REG_海珠,REG_荔湾,REG_越秀
翠馨华庭,海珠-广州大道南-广州大道南966号,34309,4.7,0.5,1,0.9,False,True,False,23.08898129664783,113.32353998097368,53.307212905202725,1051.005493025582,14.71747935310606,805.1505623137089,182.429735393796,728.320044465585,703.0537038986106,3499.263205081074,2802.932376716072,2286.572119769984,462400,POINT (113.3235399809737 23.08898129664783),False,True,False,False
宏宇广场,海珠-宝岗-宝岗大道10-12号,34591,10.2,0.24,1,0.88,False,False,True,23.10725074782808,113.2692459468158,61.558228987978325,737.0076523340438,143.21863144250176,72.57781827454833,175.26053315030546,179.21304429478928,634.3792146143066,5853.857589330889,1162.194809262142,630.3725394247577,351600,POINT (113.2692459468158 23.10725074782808),False,True,False,False
绿茵翠庭,海珠-赤岗-翠庭一街1号,32156,2.55,0.42,0,1.0,False,False,True,23.09445448398087,113.33229315969056,56.9537217716879,90.43443439055552,228.7996080603669,226.03327080702863,124.69848782188944,355.4997225038716,1043.2339649205114,2992.363587523353,1721.0192805555766,1933.4754914941973,239000,POINT (113.3322931596906 23.09445448398087),False,True,False,False
汇龙居,海珠-赤岗-赤岗东路271-277号,37741,3.16,0.2,1,0.4,False,False,True,23.09547197081759,113.3369867161481,358.5145538169664,177.1440998451471,378.6085513332279,228.0727677136539,592.5961659127526,784.9428535964792,978.5422981225704,3048.454677599586,1262.5156453472805,1822.2485721716496,89400,POINT (113.3369867161481 23.09547197081759),False,True,False,False
华怡花园,海珠-赤岗-赤岗东路203号,30225,2.27,0.45,0,0.4,False,False,True,23.09922928279744,113.3368134330153,121.1331790388324,443.6262589858882,87.5911659576801,318.37796488588003,366.2457598218368,1047.029578820163,593.2888972665772,2665.318050439743,1069.6787128460628,1403.6619621970108,95700,POINT (113.3368134330153 23.09922928279744),False,True,False,False
浪琴居,海珠-滨江东-滨江东路758-766号,50999,4.0,0.12,1,1.0,False,False,True,23.082964311926386,113.3249114239953,147.62779842736992,1318.9065282604925,446.5052977349297,581.8745801878091,186.12008476848487,532.6749924922922,607.3645308717983,4166.517315368395,3111.837827860887,2957.159541466042,344900,POINT (113.3249114239953 23.08296431192639),False,True,False,False
金豪嘉苑,海珠-上渡路-上渡路,55034,6.5,0.35,0,1.4,True,False,False,23.10754126493757,113.31459267843616,271.4853845199904,1191.7313386475532,528.3273243481041,864.6856442570386,847.3881880559483,768.9563569361543,228.2365087792992,1765.1261828373042,3017.451823709061,7.026721772405826,45400,POINT (113.3145926784362 23.10754126493757),False,True,False,False
恒鑫东和湾,海珠-滨江东-滨江东路698号,52872,5.0,0.3,1,2.0,False,True,False,23.082964311926386,113.3249114239953,147.62779842736992,1318.9065282604925,446.5052977349297,581.8745801878091,186.12008476848487,532.6749924922922,607.3645308717983,4166.517315368395,3111.837827860887,2957.159541466042,344900,POINT (113.3249114239953 23.08296431192639),False,True,False,False
瀚林水岸,海珠-滨江东-怡乐路45号,55783,2.5,0.3,1,1.5,False,True,False,23.082964311926386,113.3249114239953,147.62779842736992,1318.9065282604925,446.5052977349297,581.8745801878091,186.12008476848487,532.6749924922922,607.3645308717983,4166.517315368395,3111.837827860887,2957.159541466042,344900,POINT (113.3249114239953 23.08296431192639),False,True,False,False
金玫瑰苑,海珠-工业大道南-工业大道997号,34474,2.79,0.3,1,1.38,True,False,False,23.098786831195905,113.2677612274694,180.00523124326074,640.00116298977,453.5586293912253,584.8285614076921,463.1040617083342,237.09460543409048,967.0856064629178,6297.533299838578,1661.3335071682843,1530.0505898841404,532700,POINT (113.2677612274694 23.09878683119591),False,True,False,False
益鹏翠苑,海珠-南洲-益通三街6号,29151,3.04,0.33,1,1.0,True,False,False,23.07051806749397,113.3163083521291,262.2592177250116,1848.5674997402368,476.40904172790846,943.5752687277812,886.5297012314068,917.2513580871536,187.25973950735363,5615.779826140011,4724.018721075841,1496.9744975406938,102800,POINT (113.3163083521291 23.07051806749397),False,True,False,False
顺华名庭,海珠-新港西-新港西路144号,32905,5.1,0.21,1,1.2,True,False,False,23.08898129664783,113.32353998097368,53.307212905202725,1051.005493025582,14.71747935310606,805.1505623137089,182.429735393796,728.320044465585,703.0537038986106,3499.263205081074,2802.932376716072,2286.572119769984,462400,POINT (113.3235399809737 23.08898129664783),False,True,False,False
江南乐居苑,海珠-宝岗-龙田西街1-55号,29622,2.5,0.3,1,0.55,False,False,True,23.10171600955703,113.26740298323212,277.2630559207079,591.991375789818,302.1332214133616,479.2888834062118,369.94641487939737,83.99173209698861,1250.9704910035334,6214.823295229351,1378.537381108821,1202.716396410333,411700,POINT (113.2674029832321 23.10171600955703),False,True,False,False
