小区,小区地址,PRI,FAR,GRE,CAR,PRO,AGE_medium,AGE_new,AGE_old,latitude,longitude
广安楼,天河-天河北-禺东西路6号,22600,3.0,0.35,1,1.0,False,False,True,23.13035783510465,113.36850942427998
冠庭园,天河-沙太南-广州大道北649-3号,31819,2.23,0.4,1,2.0,True,False,False,23.13035783510465,113.36850942427998
华江花园,天河-天河公园-黄埔大道中103-113号,45556,3.3,0.4,1,0.4,False,False,True,23.12908994461827,113.37152602401203
君紫花园,天河-岗顶-新陶大街,49286,2.5,0.38,1,0.6,False,False,True,23.13517808920579,113.35017355177585
珠江苑,天河-天河北-天寿路37-85号,62000,2.5,0.2,1,0.7,False,False,True,23.150452778672452,113.33836435747774
天荣小区,天河-体育西路-天荣路,47688,2.1,0.3,1,1.5,False,False,True,23.13481114205389,113.3264884891481
睿山,天河-五山-茶山路,79525,2.8,0.41,1,2.5,False,True,False,23.13035783510465,113.36850942427998
侨景大厦,天河-天河北-信成南街15-17号,63433,1.6,0.4,1,1.51,False,False,True,23.13035783510465,113.36850942427998
沁馥佳苑,天河-天河公园-中山大道西105号,79810,3.7,0.4,1,1.9,False,True,False,23.14367867634046,113.36533553125318
广州有色金属研究院,天河-长兴-长兴路363号,35600,2.0,0.2,0,0.3,False,False,True,23.173818039914025,113.3685529920972
环宇花园,天河-天河公园-中山大道100-122号,46000,3.23,0.3,1,1.05,False,False,True,23.140184572271465,113.36012149658333
华南理工大学教工宿舍,天河-五山-五山路381号,66304,1.2,0.3,1,0.38,True,False,False,23.13035783510465,113.36850942427998
鸿燕居小区,天河-粤垦-燕都路35-89号,32263,2.31,0.43,1,0.7,False,False,True,23.165010501680236,113.33579196982022
恒达苑,天河-天河北-林和东路200号,59872,1.5,0.1,1,0.65,False,False,True,23.13035783510465,113.36850942427998
茶景苑,天河-五山-贤韵街10-20号,47504,2.6,0.32,1,0.8,False,False,True,23.13035783510465,113.36850942427998
粤韵庭园,天河-员村-黄埔大道中,57010,2.5,0.3,1,0.8,True,False,False,40.82838390336552,116.4898502468795
中强雅苑,天河-沙河-广州大道中1432号,41898,2.8,0.3,1,1.5,False,True,False,23.15563069345595,113.317463483184
天河东路小区,天河-天河北-天河东路,50000,2.0,0.4,0,0.9,False,False,True,23.13035783510465,113.36850942427998
林和西小区,天河-天河北-林和西路,36400,2.5,0.3,1,1.5,False,False,True,23.13035783510465,113.36850942427998
汇景新城柏菲美泉,天河-汇景新城-汇景南路,98295,1.0,0.4,1,2.6,False,True,False,23.154915711155226,113.37028717088364
福金莲花园,天河-员村-黄埔大道124号,43841,2.5,0.3,1,0.6,True,False,False,40.82838390336552,116.4898502468795
