小区,小区地址,PRI,FAR,GRE,CAR,PRO,AGE_medium,AGE_new,AGE_old,latitude,longitude,BUS,HOS,MAR,SUB,PSC,MSC,PAR,CBD,SCBD,RIV,ARE,geometry,REG_天河,REG_海珠,REG_荔湾,REG_越秀
花地湾,荔湾-花地湾-花地大道北路,19600,2.5,0.2,1,1.0,False,False,True,23.09496767463209,113.23920858684416,246.37139645876647,1871.639136083293,964.2553947097904,1010.7940789113942,560.2398917108737,1332.939402223386,360.60897801397886,9914.958963600357,627.8849149487019,292.76244772690706,45600,POINT (113.2392085868442 23.09496767463209),False,False,True,False
兴贤社区,荔湾-长寿路-宝华路,23400,1.2,0.3,0,0.5,False,False,True,23.122819939979937,113.2484132539102,101.65185964845384,346.92712079270075,170.61507944671197,569.1654316664376,201.39554471092504,265.5801169242819,186.04918491728824,8482.6236033126,1727.3051057651192,1200.8392579874364,431100,POINT (113.2484132539102 23.12281993997994),False,False,True,False
十八甫路小区,荔湾-长寿路-十八甫路,21400,1.5,0.15,0,1.0,False,False,True,23.118025881065428,113.2547257365573,123.0224484831902,34.47883199318714,192.6419826690949,399.27404254749626,133.20093424369676,115.87347795895175,285.132631468116,7781.166397167514,879.4514487106693,536.4815393223474,649100,POINT (113.2547257365573 23.11802588106543),False,False,True,False
省中医院宿舍,荔湾-花地湾-花溪路5号,27600,1.5,0.15,1,0.8,False,False,True,23.09496767463209,113.23920858684416,246.37139645876647,1871.639136083293,964.2553947097904,1010.7940789113942,560.2398917108737,1332.939402223386,360.60897801397886,9914.958963600357,627.8849149487019,292.76244772690706,45600,POINT (113.2392085868442 23.09496767463209),False,False,True,False
十八甫新街小区,荔湾-长寿路-十八甫路,25400,2.6,0.2,0,0.5,False,False,True,23.118025881065428,113.2547257365573,123.0224484831902,34.47883199318714,192.6419826690949,399.27404254749626,133.20093424369676,115.87347795895175,285.132631468116,7781.166397167514,879.4514487106693,536.4815393223474,649100,POINT (113.2547257365573 23.11802588106543),False,False,True,False
十光雅里,荔湾-长寿路-下九路,24200,1.2,0.2,0,1.0,False,False,True,23.120344161218053,113.2542671515946,94.77502565369656,272.3934970176959,355.01478688829354,566.6335080500863,123.27915682006912,311.1189590645399,365.1525641498184,7827.556379025143,1130.9248779867255,799.1674937237567,681300,POINT (113.2542671515946 23.12034416121805),False,False,True,False
康王北路大院,荔湾-陈家祠-康王北路988号,30800,2.51,0.16,1,2.2,False,False,True,23.134381105354898,113.25417821934916,103.39334968532732,136.95425299717635,585.7775604101122,378.5576534633513,210.64888211161303,218.69226137934183,745.0864927256746,7989.403905632651,2626.4299970478382,2324.44821093137,236700,POINT (113.2541782193492 23.1343811053549),False,False,True,False
荔溪南约小区,荔湾-中山八路-南约新街,27000,1.5,0.2,0,0.9,False,False,True,23.133650721049555,113.24635191225715,191.19908230055592,383.3525992357284,165.15358156534518,659.8160452066991,72.10952869483609,176.11617727486805,261.91792602739383,8830.831663533108,2850.1891460900047,2427.6831280026536,428600,POINT (113.2463519122572 23.13365072104956),False,False,True,False
流花华侨新村,荔湾-站前路-流花路45号,33400,2.0,0.3,1,0.8,False,False,True,23.14410328288102,113.25619482538784,29.23771999722021,531.779009230509,184.97113990662888,60.88891657712397,537.1812983776477,724.4639032905995,90.47722844789652,8055.294610033806,3669.155354065219,3339.2539511356404,146600,POINT (113.2561948253878 23.14410328288102),False,False,True,False
康王阁,荔湾-陈家祠-康王北路924号,37000,2.5,0.15,1,1.5,True,False,False,23.13322400393424,113.25432706857212,41.22686640848588,193.54792186119408,572.0801915943438,389.0225771384189,274.8213444718155,89.75687917458129,649.7181690777701,7949.143851483633,2497.0013835179834,2194.943647304231,295900,POINT (113.2543270685721 23.13322400393424),False,False,True,False
